iter	AUC	Logloss
0	0.5518145934	0.6925314973
1	0.5946484804	0.6919152525
2	0.6203406006	0.6913172764
3	0.6508167535	0.6907201974
4	0.6695365757	0.6901236894
5	0.6795667559	0.6895334612
6	0.7001819015	0.6889485343
7	0.7129305005	0.6883651569
8	0.7197250128	0.6877940131
9	0.728151083	0.6872193623
10	0.7375589907	0.6866520516
11	0.7409919798	0.6860902053
12	0.7473188341	0.6855240365
13	0.7544456124	0.6849657787
14	0.7583800256	0.6844082549
15	0.7632736564	0.683858846
16	0.7677910626	0.6833069089
17	0.7697770894	0.6827638207
18	0.773501575	0.6822196722
19	0.7754387558	0.6816858407
20	0.7771484852	0.681150582
21	0.7788148224	0.6806147116
22	0.7795376182	0.6800822666
23	0.7810508311	0.6795537771
24	0.7824599445	0.6790293246
25	0.7844526172	0.6785044644
26	0.7858296633	0.6779823364
27	0.7870631516	0.6774712593
28	0.7882345915	0.6769550441
29	0.7899573445	0.6764439671
30	0.7900385857	0.6759320744
31	0.7912032604	0.675422343
32	0.7912798822	0.6749168118
33	0.791418612	0.6744153585
34	0.7921273112	0.6739192471
35	0.7926330864	0.6734289671
36	0.7926452458	0.6729303275
37	0.7927582264	0.6724384163
38	0.7933707535	0.671943773
39	0.793456018	0.6714575708
40	0.7934498191	0.6709718172
41	0.7939762771	0.6704871238
42	0.7940202653	0.6700072015
43	0.794139117	0.6695291958
44	0.7942160964	0.6690567767
45	0.794657737	0.6685853364
46	0.794747591	0.6681123872
47	0.794855386	0.6676495511
48	0.7948633432	0.6671786001
49	0.7948693335	0.6667148669
50	0.7948963344	0.6662503996
51	0.7953714132	0.6657873189
52	0.7953986824	0.6653308442
53	0.7954521477	0.6648781212
54	0.7958987355	0.6644239709
55	0.7959278524	0.6639763452
56	0.7959038913	0.6635358557
57	0.7959057689	0.6630882708
58	0.7958993018	0.6626396256
59	0.7959634662	0.6621959962
60	0.7960042059	0.6617528153
61	0.7960326672	0.6613182795
62	0.796041131	0.6608823573
63	0.7960648835	0.6604496973
64	0.7960954309	0.6600194024
65	0.7960934043	0.6595895969
66	0.7961099446	0.6591677024
67	0.7961266935	0.658741934
68	0.796143502	0.6583240766
69	0.796145469	0.6579013258
70	0.7961633503	0.6574817965
71	0.79618752	0.6570676091
72	0.796195358	0.6566532179
73	0.7961931229	0.6562389898
74	0.7962296307	0.6558250879
75	0.7962306738	0.6554168135
76	0.7962389886	0.6550117197
77	0.7962350845	0.6546091951
78	0.7962311804	0.6542087501
79	0.7962380052	0.6538090391
80	0.7962470353	0.6534124273
81	0.7962338626	0.653022544
82	0.7962436974	0.652628909
83	0.7962376773	0.6522359673
84	0.7962349355	0.6518473073
85	0.7962322533	0.6514602785
86	0.7962468266	0.6510684785
87	0.7962482572	0.6506845896
88	0.7962490916	0.65030066
89	0.7962494791	0.6499215014
90	0.7962548435	0.6495420981
91	0.7962650955	0.6491615938
92	0.7962586284	0.6487874918
93	0.7962462902	0.6484202405
94	0.7962414622	0.6480509095
95	0.7962390184	0.6476812523
96	0.7962257266	0.647314572
97	0.796209693	0.646952051
98	0.7962040901	0.6465905495
99	0.7961996198	0.646227947
100	0.7961995006	0.6458695039
101	0.796197474	0.6455073499
102	0.7961968184	0.6451518021
103	0.7961922586	0.6447952348
104	0.7961878181	0.6444405841
105	0.7961951494	0.6440866266
106	0.796192348	0.6437372771
107	0.7961922586	0.643385644
108	0.7962044179	0.6430383742
109	0.7962112129	0.6426895548
110	0.7962212563	0.6423419996
111	0.7962314188	0.641998563
112	0.7962437868	0.6416556565
113	0.7962377667	0.6413178065
114	0.7962229252	0.6409854616
115	0.7962211668	0.6406495691
116	0.7961913943	0.6403221176
117	0.7961784601	0.639993402
118	0.7961738408	0.639664401
119	0.7961823046	0.6393322193
120	0.7961932421	0.639002158
121	0.7962041795	0.6386746658
122	0.7962004244	0.6383500688
123	0.7962093353	0.6380231475
124	0.7962045074	0.637704545
125	0.796210587	0.6373842298
126	0.796200633	0.6370665652
127	0.7962127328	0.6367443742
128	0.7962046862	0.6364307874
129	0.7962017059	0.636121197
130	0.7962006032	0.6358094045
131	0.7961823046	0.6355019345
132	0.7961889505	0.6351923849
133	0.7961871922	0.6348851188
134	0.7961874604	0.6345771187
135	0.7961860597	0.6342714838
136	0.7961856723	0.633969682
137	0.7961874008	0.6336658005
138	0.7961907983	0.6333655891
139	0.7961923778	0.6330700265
140	0.7961962223	0.6327705083
141	0.7962027788	0.6324713572
142	0.7962040305	0.6321776296
143	0.7962032557	0.6318845952
144	0.7962008417	0.6315933551
145	0.7962041795	0.6313029305
146	0.7962076366	0.631013974
147	0.7962006032	0.63072934
148	0.7961993515	0.6304433603
149	0.796197325	0.6301564835
150	0.7962024212	0.6298722572
151	0.796195209	0.6295953711
152	0.7961927056	0.6293140402
153	0.7961981595	0.6290324646
154	0.7961947024	0.6287515414
155	0.7961975336	0.6284746146
156	0.7962069213	0.6281980547
157	0.7962114513	0.6279227998
158	0.7962207496	0.6276492167
159	0.7962116301	0.6273786105
160	0.7962161303	0.6271078412
161	0.7962144613	0.6268412721
162	0.7962097526	0.6265753962
163	0.7962039709	0.6263096834
164	0.7962014079	0.6260456426
165	0.7961947024	0.6257833552
166	0.7961933315	0.6255189065
167	0.7961984873	0.6252543763
168	0.7962047458	0.6249940056
169	0.7962090969	0.6247329415
170	0.7962170541	0.6244753437
171	0.7962148786	0.6242205595
172	0.7962138951	0.6239656939
173	0.7962117791	0.6237144982
174	0.7962175906	0.6234594286
175	0.7962237	0.6232055416
176	0.7962300479	0.6229525925
177	0.7962381244	0.6227018863
178	0.7962393761	0.6224514654
179	0.7962428629	0.6222016155
180	0.7962437272	0.6219560881
181	0.7962394655	0.6217104383
182	0.7962419093	0.6214671945
183	0.7962408662	0.6212215448
184	0.7962296307	0.6209807476
185	0.7962266207	0.6207397467
186	0.7962291241	0.6205004991
187	0.7962359786	0.6202616594
188	0.7962391675	0.6200217186
189	0.7962422371	0.6197849994
190	0.7962343991	0.6195535406
191	0.7962335944	0.6193178815
192	0.7962330282	0.6190836498
193	0.7962331176	0.6188490102
194	0.796243161	0.6186134735
195	0.7962482572	0.6183845838
196	0.7962469459	0.6181534919
197	0.7962510288	0.6179285577
198	0.7962446213	0.6177056216
199	0.7962473631	0.6174790969
200	0.7962516844	0.6172534287
201	0.7962492704	0.6170304925
202	0.7962437868	0.6168060476
203	0.7962432206	0.6165866185
204	0.7962428331	0.616366496
205	0.7962492108	0.6161469038
206	0.7962568104	0.6159266998
207	0.7962600291	0.6157091872
208	0.7962644398	0.6154917154
209	0.7962626517	0.6152763233
210	0.7962723076	0.6150606458
211	0.7962717712	0.6148456207
212	0.7962812185	0.6146306364
213	0.7962912321	0.614416957
214	0.7962917686	0.6142065399
215	0.7962937355	0.6139979578
216	0.7962941825	0.6137905175
217	0.7962885499	0.6135823432
218	0.7962914705	0.6133730679
219	0.7962913811	0.6131645674
220	0.7962871194	0.6129587582
221	0.7962848544	0.6127545395
222	0.7962830961	0.6125527266
223	0.7962884307	0.6123511584
224	0.7962951362	0.6121473474
225	0.796300441	0.6119467987
226	0.7962981462	0.6117453529
227	0.796300441	0.6115456197
228	0.7963036895	0.6113461313
229	0.7962878346	0.611153412
230	0.7962909937	0.6109575936
231	0.7962902784	0.6107618975
232	0.7962909341	0.6105692191
233	0.7962987423	0.6103756435
234	0.7963012755	0.6101836175
235	0.7963108718	0.6099937935
236	0.7963094711	0.6098045812
237	0.796310395	0.6096141864
238	0.7963117659	0.6094244847
239	0.7963086367	0.6092389425
240	0.7963184714	0.6090491185
241	0.7963172197	0.6088604364
242	0.7963115573	0.6086752204
243	0.7963106632	0.6084888218
244	0.7963095903	0.6083046253
245	0.7963085175	0.6081232832
246	0.7963148952	0.6079413703
247	0.7963215411	0.6077582748
248	0.796328485	0.6075761579
249	0.7963355482	0.6073970995
250	0.7963344455	0.6072204062
251	0.796333015	0.6070443654
252	0.7963349223	0.6068650623
253	0.7963366508	0.6066858815
254	0.7963291407	0.6065133068
255	0.7963388264	0.6063374291
256	0.7963311672	0.6061659555
257	0.7963380218	0.605990037
258	0.7963334918	0.6058166875
259	0.7963390052	0.6056438274
260	0.7963460088	0.6054698255
261	0.7963430583	0.6053004724
262	0.7963412106	0.6051305075
263	0.7963401973	0.6049604612
264	0.796338141	0.6047929838
265	0.7963397801	0.6046290134
266	0.7963394225	0.6044640236
267	0.7963423133	0.6042964239
268	0.7963412404	0.6041329836
269	0.7963477075	0.6039654247
270	0.796343863	0.6038029631
271	0.7963474095	0.6036358936
272	0.7963556349	0.6034691095
273	0.7963620424	0.6033040788
274	0.7963602543	0.6031410056
275	0.7963583469	0.6029778915
276	0.7963591516	0.6028177951
277	0.796361804	0.6026592075
278	0.7963687778	0.6024984994
279	0.7963727117	0.6023401564
280	0.7963738143	0.6021830776
281	0.7963797152	0.6020272221
282	0.7963863313	0.6018688791
283	0.79638955	0.6017156743
284	0.796400696	0.6015595334
285	0.7964053452	0.6014039633
286	0.7964035869	0.6012511255
287	0.7964057326	0.60109841
288	0.7964089215	0.6009463877
289	0.7964069545	0.600794814
290	0.7964075506	0.6006420577
291	0.7964090705	0.6004928491
292	0.796413213	0.6003442522
293	0.7964115739	0.6001972457
294	0.796410352	0.6000490565
295	0.7964141071	0.5999028248
296	0.7964196801	0.5997536162
297	0.7964220047	0.599605264
298	0.796418786	0.5994571972
299	0.7964245081	0.5993105985
300	0.7964333594	0.5991660795
301	0.7964352667	0.5990239256
302	0.7964380383	0.5988811192
303	0.7964363694	0.5987385983
304	0.7964413762	0.598596526
305	0.7964424491	0.5984548207
306	0.7964422405	0.5983142979
307	0.796453476	0.5981707983
308	0.7964515388	0.5980334563
309	0.7964555919	0.5978972969
310	0.796459496	0.597758079
311	0.796461463	0.5976215118
312	0.7964601815	0.5974854339
313	0.7964513898	0.5973512726
314	0.7964541614	0.5972176414
315	0.7964529097	0.5970848666
316	0.7964586616	0.5969511539
317	0.7964657545	0.5968152799
318	0.7964608371	0.5966851964
319	0.7964602709	0.596553074
320	0.7964650989	0.5964197283
321	0.796472013	0.5962858117
322	0.7964714468	0.5961556875
323	0.7964741886	0.5960235651
324	0.7964844108	0.5958905048
325	0.7964854538	0.5957622972
326	0.7964771986	0.5956338449
327	0.796486944	0.5955029866
328	0.7967238128	0.5953814259
329	0.7967249155	0.5952515055
330	0.7967146635	0.595125867
331	0.7967133522	0.5949995351
332	0.7967165709	0.5948714906
333	0.796720922	0.5947455258
334	0.7967195213	0.5946217222
335	0.7967236936	0.5944943302
336	0.7967312634	0.5943663672
337	0.7967318296	0.5942417481
338	0.796738416	0.5941188824
339	0.7967431247	0.5939963838
340	0.7967560291	0.5938722132
341	0.796756804	0.5937497553
342	0.7967689633	0.593629785
343	0.7967628241	0.5935119758
344	0.7967619002	0.5933905374
345	0.7967651486	0.5932727691
346	0.7967611551	0.5931560202
347	0.7967621982	0.5930370693
348	0.7967630923	0.5929196272
349	0.7967677414	0.5928024297
350	0.7967728972	0.5926838866
351	0.7967844307	0.5925642425
