iter	Passed	Remaining
0	39	593450
1	75	569893
2	113	566504
3	151	568033
4	189	569266
5	228	570062
6	266	569794
7	304	571496
8	344	573480
9	380	570892
10	420	572973
11	459	574252
12	498	574838
13	539	577041
14	581	580937
15	620	581194
16	659	581356
17	699	582576
18	738	582546
19	778	583176
20	820	585158
21	860	585741
22	898	585218
23	937	584718
24	975	584204
25	1013	583811
26	1052	583461
27	1100	588558
28	1157	597744
29	1206	602027
30	1256	606866
31	1307	611416
32	1354	614285
33	1404	618147
34	1454	621700
35	1508	626944
36	1564	632554
37	1611	634404
38	1663	637992
39	1716	641932
40	1767	645013
41	1821	648688
42	1873	651785
43	1928	655424
44	1990	661636
45	2047	665657
46	2102	668844
47	2163	673987
48	2223	678356
49	2276	680778
50	2326	681829
51	2373	682324
52	2426	684200
53	2472	684211
54	2521	685220
55	2573	686734
56	2622	687394
57	2672	688566
58	2730	691437
59	2782	692765
60	2842	696111
61	2897	698195
62	2947	698805
63	2998	699685
64	3051	701227
65	3123	706654
66	3182	709410
67	3246	712816
68	3299	713933
69	3353	715184
70	3416	718405
71	3470	719587
72	3523	720510
73	3587	723667
74	3642	724773
75	3704	727354
76	3754	727583
77	3811	729214
78	3866	730368
79	3923	731750
80	3975	732244
81	4026	732594
82	4083	733914
83	4137	734669
84	4188	734902
85	4236	734714
86	4284	734501
87	4332	734134
88	4384	734617
89	4430	734046
90	4483	734568
91	4532	734505
92	4588	735468
93	4643	736281
94	4690	735950
95	4739	735823
96	4789	735911
97	4841	736153
98	4891	736203
99	4938	735908
100	4987	735752
101	5039	736005
102	5086	735699
103	5135	735498
104	5192	736528
105	5241	736451
106	5290	736334
107	5347	737381
108	5398	737504
109	5454	738373
110	5513	739497
111	5562	739439
112	5622	740742
113	5670	740509
114	5717	740069
115	5768	740128
116	5818	740102
117	5865	739766
118	5914	739653
119	5968	740127
120	6025	740889
121	6074	740814
122	6133	741798
123	6183	741861
124	6232	741648
125	6285	742036
126	6341	742597
127	6396	743147
128	6453	743949
129	6504	743975
130	6555	744087
131	6606	744096
132	6654	743824
